site,IGBP,Koppen,R2,RMSE,MAPE,pred_std,target,model,split_type,n_seeds
FLX_CH-Oe2,CRO,C,0.590670645236969,1.5444660186767578,0.30853426,0.4049505170318338,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Wi1,DBF,D,0.0,9.214917182922363,0.5989085,0.38879582854975564,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
JPX_CN-HaM,GRA,D,0.16225165128707886,0.9105933308601379,0.16942577,0.7541753855315946,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xDS,CVM,C,0.6171091198921204,0.5922994017601013,0.14057226,0.7137247572029632,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_FI-Let,ENF,D,0.5559604167938232,2.3031251430511475,0.34737733,0.40898604120170806,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_CA-Qc2,MF,D,0.6670817136764526,1.5687413215637207,0.34980655,0.37042054606825336,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-BZB,WET,D,0.7791905999183655,0.5374088883399963,0.26644635,0.2359959589777508,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Ho2,ENF,D,0.4918612837791443,1.9853758811950684,0.42642894,0.40021766871364794,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xRM,ENF,D,0.7854289412498474,0.5554344654083252,0.26212394,0.28649489490848495,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_GL-NuF,WET,E,0.5591440200805664,0.4976586401462555,0.2504829,0.20481690711493827,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Fwf,GRA,D,0.6362543106079102,0.6310296058654785,0.39777628,0.3616920799715246,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Ro2,CRO,D,0.7464240789413452,1.3751709461212158,0.32481495,0.2964938100403301,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_ES-Ln2,OSH,D,0.0,0.9784098863601685,2.569536,0.2640427610938059,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-AR1,GRA,C,0.38553398847579956,1.0614920854568481,0.44585404,0.3460758751093255,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_IT-Isp,DBF,C,0.24835973978042603,2.411672830581665,0.339939,0.5559713843592293,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-PFd,WET,D,0.7536734342575073,0.7768935561180115,0.16749558,0.5018773813468064,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
JPX_JP-Sb2,WET,D,0.7483789920806885,0.91908198595047,0.17504364,0.5328228151374585,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_DE-Tha,ENF,D,0.8735292553901672,0.8196965456008911,0.15741405,0.37792465482217247,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xSR,OSH,B,0.7454261779785156,0.22476032376289368,0.2994805,0.12625837395558104,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_DE-Gri,GRA,D,0.7780364751815796,1.3681418895721436,0.2191446,0.37081273227669936,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_AU-Stp,GRA,B,0.2994827628135681,0.6077584624290466,0.4348778,0.3804840732517907,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_FR-Bil,ENF,C,0.7422066926956177,0.9568798542022705,0.17292169,0.44710729314673614,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_BR-Npw,WSA,A,0.0,2.6074535846710205,0.41561985,1.5737360122524204,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_AU-Lox,DBF,B,0.0,3.4153547286987305,0.7745649,0.35095494847991726,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_CA-SCC,ENF,D,0.0,1.3979893922805786,0.84279794,0.3165043118605186,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-GLE,ENF,D,0.7576377987861633,0.7211717367172241,0.32535747,0.22606677269264924,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_AT-Neu,GRA,D,0.0,6.609780311584473,0.6826804,0.33929056211290826,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_FR-Gri,CRO,C,0.6657578945159912,1.2494850158691406,0.2839006,0.28858577277996456,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xUN,MF,D,0.8002256751060486,0.8130318522453308,0.30586413,0.2311800759630605,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_IT-Tor,GRA,D,0.6521399021148682,0.8638626337051392,0.22465731,0.30213122358336997,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-UMd,DBF,D,0.904775083065033,0.5758095383644104,0.16113201,0.2663200055025266,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-PFq,DBF,D,0.42554938793182373,2.0839056968688965,0.326899,0.40996465059125775,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Rws,OSH,B,0.11444389820098877,0.7003909945487976,0.5212174,0.17672852014325974,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_DE-RuW,ENF,C,0.4552682042121887,3.1090312004089355,0.46468464,0.34591952377748764,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xMB,OSH,B,0.003516674041748047,0.2666289806365967,0.5670114,0.14527944236618115,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_CA-Cbo,DBF,D,0.25826096534729004,4.313491344451904,0.5338987,0.2952236301624828,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Me3,ENF,C,0.7536216378211975,0.6153067946434021,0.2780238,0.2839075157407585,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_FI-Sod,ENF,D,0.7817440032958984,0.8662973642349243,0.26454437,0.33168006764281854,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-ORv,WET,D,0.15609675645828247,1.1456912755966187,0.43701926,0.41084552064586566,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-Cop,GRA,B,0.0,0.3311957120895386,1.4638631,0.15323228764311544,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_FR-Fon,DBF,C,0.4623844623565674,1.5203801393508911,0.39300475,0.44974796761936514,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_ES-LJu,OSH,C,0.0,1.4140907526016235,3.7790637,0.5886015604035639,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xBA,WET,E,0.0,0.48081862926483154,0.7764484,0.19386408148864429,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Wkg,GRA,B,0.7051091194152832,0.3393784761428833,0.47002977,0.1265592254706875,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_IT-Ro1,DBF,C,0.05963897705078125,1.7194185256958008,0.37453985,0.4065622722160234,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-Wi6,OSH,D,0.0,1.314682960510254,0.78296334,0.4419452578034316,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Tw4,WET,C,0.6215717792510986,1.0786690711975098,0.22825928,0.3927486762886273,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_FI-Jok,CRO,D,0.8671472072601318,0.4893060326576233,0.3310226,0.3929331433556052,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Var,GRA,C,0.47803419828414917,1.2564560174942017,5.8820276,0.33027768352768516,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-CF1,CRO,D,0.7767578363418579,1.2531324625015259,11.578608,0.4240824521460725,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_ES-Amo,OSH,B,0.0,1.165384292602539,1.8472205,0.2317932579437682,NEE_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_FR-Tou,GRA,C,0.48360371589660645,1.3327089548110962,3.4169097,0.4752084060275061,NEE_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_IT-TrF,DNF,D,0.0,2.9409873485565186,0.99882865,0.45800037376582803,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_JP-SMF,MF,C,0.23347461223602295,1.5862691402435303,1.5440683,0.39510507566833425,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-Ivo,WET,D,0.4967772960662842,0.63755863904953,5.2917724,0.2961879233049701,NEE_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_DK-RCW,DBF,C,0.7252217531204224,1.7410870790481567,1.3361834,0.3871988489419984,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-EML,OSH,D,0.49465322494506836,0.828750491142273,2.6129773,0.34479812837552687,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_CA-Ca1,ENF,C,0.0,2.4677560329437256,2.1446133,0.3648674270132096,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_AU-Dry,SAV,A,0.0,1.0501807928085327,1.1065882,0.3142289490881942,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Ro5,CRO,D,0.6552932262420654,1.8397371768951416,1.9197935,0.4128565980423638,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_CA-Man,ENF,D,0.5597763657569885,0.5821277499198914,4.6128063,0.24710519653156723,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_DE-Spw,WET,C,0.3617793321609497,2.179192543029785,1.6265447,0.3506669647358008,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-Tw1,WET,C,0.7180647850036621,1.6380058526992798,0.324727,0.5512105417713572,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xBL,DBF,C,0.45953959226608276,0.9131007790565491,2.6995914,0.3991034116059488,NEE_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_GL-ZaF,WET,E,0.5564876794815063,0.7391040921211243,2.3178,0.20173012097990056,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_CA-Qfo,ENF,D,0.6049191951751709,0.5512829422950745,14.3061285,0.2632382422912854,NEE_VUT_USTAR50,tam-rl,Koppen,10
JPX_JP-BBY,WET,D,0.0,1.0816723108291626,1.5802369,0.5052037473862754,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_IT-Noe,CSH,C,0.5674035549163818,0.9755147695541382,1.4330084,0.38425209382485975,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_CA-NS1,ENF,D,0.31601589918136597,1.1481144428253174,5.122681,0.23579532688381333,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-Me1,ENF,C,0.0,0.9357976913452148,3.4943836,0.4333506554089415,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-AR2,GRA,C,0.2547980546951294,0.9543440937995911,8.573926,0.37245563896127354,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-Tw4,WET,C,0.0,2.2570154666900635,3.7262812,0.584651785890402,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Syv,MF,D,0.5116269588470459,1.2045799493789673,39.44704,0.25649128320079784,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-Wi9,ENF,D,0.4602419137954712,1.155228853225708,0.62928325,0.49810328497635137,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_AU-DaP,GRA,A,0.5801974534988403,1.3981930017471313,3.4212577,0.48131453191392054,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-ARc,GRA,C,0.7819996476173401,0.9320266246795654,3.0079901,0.4889881015937748,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xYE,ENF,D,0.0,0.6890383362770081,1.19289,0.319736591587504,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-NC1,ENF,C,0.0,2.4162256717681885,2.701531,0.46441351689518456,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_DE-RuS,CRO,C,0.276436984539032,3.536179542541504,0.9240945,0.396076330712652,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_IT-Col,DBF,D,0.8274984359741211,1.5011019706726074,0.5250758,0.6256845956240199,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_CA-NS5,ENF,D,0.3531962037086487,0.9566673636436462,3.1734662,0.2373189209809645,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Tw3,CRO,C,0.0,4.250889778137207,1.8202186,0.7733943978615916,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-ICt,OSH,D,0.44672054052352905,0.5946763753890991,3.222578,0.32366594978687746,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xGR,DBF,C,0.026806116104125977,2.2172646522521973,2.6748922,0.5408197154724719,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_CA-TPD,DBF,D,0.7984107732772827,1.0337629318237305,3.72573,0.3559135186674918,NEE_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_IT-SR2,ENF,C,0.6139598488807678,1.514548659324646,2.0141773,0.5009345799808621,NEE_VUT_USTAR50,tam-rl,Koppen,10
JPX_CN-Lsh,DNF,D,0.5089333057403564,2.823819398880005,0.5734772,0.8162676586326746,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_CZ-BK1,ENF,D,0.5980881452560425,1.9254683256149292,0.6361137,0.503719704977054,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Mpj,WSA,B,0.0,0.7927877902984619,1.8464769,0.2138438407899346,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xAE,GRA,C,0.0,1.434832215309143,11.160331,0.5777625323277759,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_PA-SPs,GRA,A,0.0,2.3925676345825195,2.6696148,1.1449528302958822,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-RGA,CRO,C,0.3517625331878662,3.5818934440612793,1.2493353,0.6664759566569453,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-UMB,DBF,D,0.8266183137893677,0.9345104098320007,2.456994,0.34141573632943123,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_CA-NS4,ENF,D,0.0,0.7380006313323975,7.1981835,0.24537918132632197,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-ORv,WET,D,0.3365556001663208,2.099670886993408,6.89672,0.32014236058585555,NEE_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_BE-Vie,MF,C,0.5160907506942749,1.8226864337921143,0.9249343,0.32753458140814484,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xDC,GRA,D,0.11020761728286743,0.6845747828483582,0.94727635,0.3284927159322687,NEE_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_FI-Var,ENF,D,0.5317065715789795,0.6824445724487305,4.5377045,0.3211780590117399,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_AU-ASM,SAV,B,0.23743009567260742,0.4465230107307434,3.5074496,0.3143109658796169,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Me1,ENF,C,0.0,0.9527401924133301,3.4312932,0.4540875745714711,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_DE-Akm,WET,C,0.43267709016799927,1.963866114616394,6.1243997,0.3516083126995122,NEE_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_NO-Hur,ENF,D,0.0,1.2326184511184692,0.77784467,0.4536757173369625,NEE_VUT_USTAR50,tam-rl,Koppen,10
JPX_JP-Spp,DBF,D,0.0,5.569509506225586,0.73157096,0.7875071794833446,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_CA-SF1,ENF,D,0.1207733154296875,1.9771913290023804,14.569815,0.4610204128476498,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-LS2,SAV,B,0.0019085407257080078,1.2907638549804688,1.2408489,0.28924820805336393,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-AR1,GRA,C,0.0,1.5432072877883911,6.9266877,0.39853174488507587,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_DE-Lnf,DBF,D,0.8534489870071411,1.316084861755371,0.98353994,0.43274360260032485,NEE_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_SE-Htm,ENF,D,0.15982359647750854,2.7623534202575684,110.31484,0.7515306465995474,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-ICh,OSH,D,0.5310080647468567,0.4611199200153351,9.046781,0.32244282091940163,NEE_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_DE-RuR,GRA,C,0.4376800060272217,1.564534306526184,5.424884,0.3759634155361876,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_CA-TP2,ENF,D,0.12696224451065063,2.8521382808685303,1.2024578,0.32611002431516456,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-NC3,ENF,C,0.0,2.724055051803589,2.7120838,0.5592500026298318,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_CH-Oe2,CRO,C,0.3053969740867615,2.744580030441284,9.225415,0.5232927944947845,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Wi1,DBF,D,0.0,5.427334785461426,4.0373154,0.4794876796560462,NEE_VUT_USTAR50,tam-rl,Koppen,10
JPX_CN-HaM,GRA,D,0.0,2.662583112716675,26.459696,0.9164960203649745,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xDS,CVM,C,0.3860510587692261,0.8259170055389404,1.8252733,0.43818909595337413,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_FI-Let,ENF,D,0.4438358545303345,1.5998173952102661,2.5572534,0.5583379294824801,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_CA-Qc2,MF,D,0.5450906753540039,0.9480379223823547,1.5255729,0.3450410896680692,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-BZB,WET,D,0.6677452325820923,0.49035099148750305,11.220904,0.24740414626392288,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Ho2,ENF,D,0.5076721906661987,1.561292052268982,0.76915973,0.3902640858034928,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xRM,ENF,D,0.0,0.6403430700302124,1.13673,0.37350454242349795,NEE_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_GL-NuF,WET,E,0.542640745639801,0.5986655354499817,6.716903,0.21891072395903513,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Fwf,GRA,D,0.07337111234664917,0.5189772248268127,2.045717,0.46441347597228466,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Ro2,CRO,D,0.17985236644744873,2.1549668312072754,2.7540243,0.4182458546404458,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_ES-Ln2,OSH,D,0.0,0.7376177906990051,1.0450933,0.3724214683646988,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-AR1,GRA,C,0.0,1.359148621559143,5.4263077,0.3929182209236195,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_IT-Isp,DBF,C,0.6127123832702637,2.0665173530578613,1.7189716,0.5850856588629486,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-PFd,WET,D,0.0,1.7359880208969116,1.2862347,0.4243749650500233,NEE_VUT_USTAR50,tam-rl,Koppen,10
JPX_JP-Sb2,WET,D,0.0,1.3859992027282715,0.61227036,0.6894417941684117,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_DE-Tha,ENF,D,0.718436598777771,1.1892180442810059,0.6315134,0.4731932588989622,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xSR,OSH,B,0.3209708333015442,0.37019386887550354,4.972134,0.12366801471114944,NEE_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_DE-Gri,GRA,D,0.5202774405479431,1.461671233177185,11.239507,0.3829111387494755,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_AU-Stp,GRA,B,0.21937322616577148,0.8022253513336182,11.267081,0.3812584416536205,NEE_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_FR-Bil,ENF,C,0.5288389921188354,1.3460851907730103,0.9598123,0.4826903397077314,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_BR-Npw,WSA,A,0.0,2.5994296073913574,1.6856754,0.9467990467335865,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_AU-Lox,DBF,B,0.0,4.294832706451416,0.9235636,0.38891748052197583,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_CA-SCC,ENF,D,0.38403409719467163,0.5833094716072083,2.9145637,0.3114041446498061,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-GLE,ENF,D,0.41249507665634155,1.0689387321472168,15.65159,0.25007117105231474,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_AT-Neu,GRA,D,0.0,3.119480609893799,3.2639408,0.3985999731974215,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_FR-Gri,CRO,C,0.37124747037887573,2.7291922569274902,1.7999078,0.37469877438481564,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xUN,MF,D,0.5499339699745178,1.3318120241165161,5.5166974,0.22387709128472047,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_IT-Tor,GRA,D,0.6928436756134033,1.223649263381958,1.0150304,0.34253146132111445,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-UMd,DBF,D,0.7726620435714722,1.1579205989837646,1.2981877,0.33423030476974996,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-PFq,DBF,D,0.6508382558822632,1.7316884994506836,0.8174924,0.4245639172482601,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Rws,OSH,B,0.2614407539367676,0.6084464192390442,2.7952957,0.1772873739584356,NEE_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_DE-RuW,ENF,C,0.0,2.5474658012390137,1.521969,0.3958522568976608,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xMB,OSH,B,0.0,0.4194345474243164,2.0349615,0.1678680306991847,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_CA-Cbo,DBF,D,0.0,3.2587857246398926,1.1822317,0.3911289447690352,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Me3,ENF,C,0.4077322483062744,0.7545943260192871,0.93460625,0.3466327050809063,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_FI-Sod,ENF,D,0.30438029766082764,0.857757568359375,1.322995,0.32556707070563656,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-ORv,WET,D,0.5126827955245972,1.2455313205718994,1.5193015,0.3589325379781273,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-Cop,GRA,B,0.3457493782043457,0.22986863553524017,1.7376494,0.16000675608479442,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_FR-Fon,DBF,C,0.7478041648864746,1.7705180644989014,0.920463,0.45264367881536105,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_ES-LJu,OSH,C,0.24748945236206055,0.535240888595581,40.240223,0.5120187062229948,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xBA,WET,E,0.0,0.4875691533088684,2.9605832,0.22550709785811587,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Wkg,GRA,B,0.45102471113204956,0.35566309094429016,11.97868,0.15292105828485378,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_IT-Ro1,DBF,C,0.5047186613082886,1.7486315965652466,4.091144,0.5009793313057838,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-Wi6,OSH,D,0.5755312442779541,1.2266584634780884,0.8175003,0.37201042528684863,NEE_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Tw4,WET,C,0.5933815240859985,1.7939844131469727,0.786806,0.4585711886030465,NEE_VUT_USTAR50,tam-rl,Koppen,10
FLX_FI-Jok,CRO,D,0.0,0.7651291489601135,1.0335593,0.506285103378756,NEE_VUT_USTAR50,tam-rl,Koppen,10
